#Symbol;Code;CommServer GUID;CommServer Volume;CommServer Runtime;NetworkConfig GUID;NetworkConfig Volume;Redundacy GUID;Redundacy Volume;Multi-chanel GUID;Multi-chanel Volume;ASA;OTA;OPC Enviroment;Maintenance;MODBUS/RS;MODBUS/IP;MBUS;SBUS/IP;SBUS/RS;Excel
#Symbol;Code;0f87d35c-b978-4d6c-bacf-de0566a0dc51;Volume;Runtime;577750fc-cf14-406f-b367-41ce15563265;Volume;db304c5f-c8fe-442b-bb73-edbdef541fdf;Volume;eb5cc34c-c18b-4727-ae78-8e183befc4a3;Volume;f3c086de-30ec-426d-b507-8114074a9840;75232b03-e9b9-41e8-9a99-a75a0d0cc21c;bfddbfb8-332e-473b-9fda-3621699bd28b;64fbd005-2d72-476b-8523-e298d5fc2e79;746aa023-ece4-427e-bece-db0845716029;1c38514b-6801-44de-aab9-1e406b3aae77;b421239f-7051-44cf-bc87-b8b659be31ec;e1f88110-13b3-4c70-9234-c8a95aab9bcf;d83fa3b0-161a-4426-a2eb-b6c513a8cee8;1bf2dc74-b605-4e5a-a087-62d20c4d558c
CS-SE-300;a7e69852;1;300;-1;1;300;1;1;1;5;0;0;1;1;1;1;1;1;1;1
CS-SE-500;e91d0408;1;500;-1;1;500;1;1;1;5;0;0;1;1;1;1;1;1;1;1
CS-SE-1K;ad6a7022;1;1000;-1;1;1000;1;1;1;5;0;0;1;1;1;1;1;1;1;1
CS-SE-4K;cb7c93d3;1;4000;-1;1;4000;1;1;1;5;0;0;1;1;1;1;1;1;1;1
CS-PE-1K;cc98a787;1;1000;-1;1;1000;1;2;1;5;1;1;1;1;1;1;1;1;1;1
CS-PE-4K;e75c7039;1;4000;-1;1;4000;1;2;1;5;1;1;1;1;1;1;1;1;1;1
CS-PE-10K;f8e7a5e1;1;10000;-1;1;10000;1;2;1;5;1;1;1;1;1;1;1;1;1;1
CS-PE-60K;cbbffd32;1;60000;-1;1;60000;1;2;1;5;1;1;1;1;1;1;1;1;1;1
OPC_SAIA_RS200;ef08931e;1;200;-1;1;200;1;1;1;1;0;0;1;1;0;0;0;0;1;0
OPC_SAIA_RS1K;a9d120ee;1;1000;-1;1;1000;1;1;1;1;0;0;1;1;0;0;0;0;1;0
OPC_SAIA_IP200;cd9945c2;1;200;-1;1;200;1;1;1;1;0;0;1;1;0;0;0;1;0;0
OPC_SAIA_IP1K;dba485ea;1;1000;-1;1;1000;1;1;1;1;0;0;1;1;0;0;0;1;0;0
OPC_MODBUS_RS200;c06c6103;1;200;-1;1;200;1;1;1;1;0;0;1;1;1;0;0;0;0;0
OPC_MODBUS_RS1K;a03bec49;1;1000;-1;1;1000;1;1;1;1;0;0;1;1;1;0;0;0;0;0
OPC_MODBUS_IP200;b2a6ae15;1;200;-1;1;200;1;1;1;1;0;0;1;1;0;1;0;0;0;0
OPC_MODBUS_IP1K;ecbe84fa;1;1000;-1;1;1000;1;1;1;1;0;0;1;1;0;1;0;0;0;0
OPC_MBUS_200;a926caff;1;200;-1;1;200;1;1;1;1;0;0;1;1;0;0;1;0;0;0
OPC_MBUS_1K;ccbf5405;1;1000;-1;1;1000;1;1;1;1;0;0;1;1;0;0;1;0;0;0
OPC_CONTROL_200;f1f4126c;1;200;-1;1;200;1;1;1;1;0;0;1;1;1;0;0;0;0;0
OPC_CONTROL_1K;be652b14;1;1000;-1;1;1000;1;1;1;1;0;0;1;1;1;0;0;0;0;0
OPC_XLS_200;e923a012;1;200;-1;1;200;1;1;1;1;0;0;1;1;0;0;0;0;0;1
OPC_XLS_1K;cef4ea82;1;1000;-1;1;1000;1;1;1;1;0;0;1;1;0;0;0;0;0;1
Demo;DefaultDemo;1;50;2;1;50;1;2;1;5;1;1;1;1;1;1;1;1;1;1
TRIAL;6184493e;1;60000;-1;1;60000;1;2;1;5;1;1;1;1;1;1;1;1;1;1
